# Top 10 nacionalidades con más tierras rurales en Argentina
# Fuente: Registro Nacional de Tierras Rurales (via Chequeado, Mayo 2018)

ranking,nacionalidad,observaciones
1,Estadounidense,"Mayor cantidad de hectáreas"
2,Italiana,"Incluye familia Benetton"
3,Española,
4,Suiza,"Muchas son offshore (Glencore)"
5,Chilena,
6,Uruguaya,"Muchas offshore radicadas"
7,Canadiense,"Inversiones vitivinícolas"
8,Holandesa,
9,Francesa,"Minería en Patagonia"
10,Alemana,

# Datos de paraísos fiscales (offshore)
# Total: 1.877.885 hectáreas en offshore
# - 45.4% Suiza
# - 34.7% Uruguay  
# - 8.0% Luxemburgo
# - 3.9% Panamá
# - 3.6% Liechtenstein
# - 3.4% Andorra

# Datos generales:
# - 12.520.826 hectáreas en manos de extranjeros (5.57% del total)
# - 266.711.077 hectáreas totales de tierras rurales
# - 50 departamentos superan el límite legal del 15%
# - 2.230.610 hectáreas con nacionalidad desconocida (5.900 registros)
